"date","price"
26-Feb-21,39
1-Mar-21,39.02
2-Mar-21,39.05
3-Mar-21,38.92
4-Mar-21,39.00
5-Mar-21,38.80
8-Mar-21,38.90
9-Mar-21,38.97
10-Mar-21,38.90
11-Mar-21,38.70
12-Mar-21,38.75
15-Mar-21,38.75
16-Mar-21,38.50
17-Mar-21,38.75
18-Mar-21,37.25
19-Mar-21,37.25
22-Mar-21,37.20
23-Mar-21,37.07
24-Mar-21,36.95
25-Mar-21,36.95
26-Mar-21,37
29-Mar-21,37.05
30-Mar-21,37.00
31-Mar-21,37.00
1-Apr-21,36.90
6-Apr-21,37.00
12-Apr-21,37.00
13-Apr-21,37.15
19-Apr-21,37.32
19-May-21,37.07
28-May-21,36.95
6-Aug-21,49.10
9-Aug-21,49.15
10-Aug-21,49.30
11-Aug-21,49.60
12-Aug-21,49.55
13-Aug-21,49.80
16-Aug-21,49.70
17-Aug-21,49.75
18-Aug-21,49.70
19-Aug-21,49.65
20-Aug-21,49.75
23-Aug-21,49.75
24-Aug-21,50.45
25-Aug-21,50.45
26-Aug-21,50.50
27-Aug-21,51.00
30-Aug-21,51.10
31-Aug-21,51.40
1-Sep-21,51.50
2-Sep-21,59.00
3-Sep-21,59.50
6-Sep-21,60.10
7-Sep-21,60.60
8-Sep-21,62.00
9-Sep-21,65.25
10-Sep-21,65.80
13-Sep-21,65.00
14-Sep-21,61.50
15-Sep-21,63.50
16-Sep-21,64.00
17-Sep-21,64.00
20-Sep-21,64.00
21-Sep-21,64.50
22-Sep-21,64.50
23-Sep-21,64.50
24-Sep-21,64.50
27-Sep-21,64.50
28-Sep-21,64.40
29-Sep-21,63.60
30-Sep-21,64.00
1-Oct-21,64.50
4-Oct-21,64.50
5-Oct-21,64.50
6-Oct-21,64.50
7-Oct-21,64.70
8-Oct-21,64.50
11-Oct-21,64.60
12-Oct-21,64.50
13-Oct-21,64.50
14-Oct-21,64.85
15-Oct-21,64.80
18-Oct-21,64.80
19-Oct-21,64.75
20-Oct-21,65.00
21-Oct-21,64.50
22-Oct-21,65.00
26-Oct-21,65.00
27-Oct-21,65.10
28-Oct-21,65.25
29-Oct-21,65.25
1-Nov-21,65.25
2-Nov-21,65.25
3-Nov-21,65.25
5-Nov-21,65.25
8-Nov-21,65.30
9-Nov-21,65.20
10-Nov-21,65.20
11-Nov-21,65.20
12-Nov-21,65.00
15-Nov-21,64.80
16-Nov-21,64.90
17-Nov-21,65.10
18-Nov-21,65.10
19-Nov-21,64.90
22-Nov-21,64.90
23-Nov-21,64.80
24-Nov-21,64.90
25-Nov-21,64.90
26-Nov-21,64.95
29-Nov-21,64.90
30-Nov-21,65.00
1-Dec-21,65.05
2-Dec-21,68.50
3-Dec-21,68.40
6-Dec-21,68.30
7-Dec-21,68.25
8-Dec-21,68.40
9-Dec-21,68.15
10-Dec-21,68.15
13-Dec-21,68.10
14-Dec-21,68.00
15-Dec-21,68.05
16-Dec-21,68.15
17-Dec-21,68.15
20-Dec-21,68.17
21-Dec-21,68.50
22-Dec-21,68.50
23-Dec-21,68.50
24-Dec-21,68.50
24-Jan-22,74.95
25-Jan-22,75.00
26-Jan-22,74.95
27-Jan-22,75.10
28-Jan-22,75.25
