date,headline,url
2014-08-14,NZUs trade down to $3.85,https://www.carbonnews.co.nz/story.asp?storyID=7992
2014-08-15,NZUs trade down to $3.85,https://www.carbonnews.co.nz/story.asp?storyID=7993
2014-08-18,NZUs settle at $3.82,https://www.carbonnews.co.nz/story.asp?storyID=8011
2014-08-19,Market likely to remain quiet for a bit,https://www.carbonnews.co.nz/story.asp?storyID=8014
2014-08-21,Chances of tougher ETS increases increase as some Dirty Politics mud sticks,https://www.carbonnews.co.nz/story.asp?storyID=8016
2014-08-22,Demand bound to increase,https://www.carbonnews.co.nz/story.asp?storyID=8015
2014-08-25,New Zealand carbon quiet; European carbon firm,https://www.carbonnews.co.nz/story.asp?storyID=8033
2014-08-27,NZUs bid up in thin trade,https://www.carbonnews.co.nz/story.asp?storyID=8040
2014-08-28,Spot NZUs trade at $4,https://www.carbonnews.co.nz/story.asp?storyID=8041
2014-08-29,Spot NZUs top $4,https://www.carbonnews.co.nz/story.asp?storyID=8042
2014-09-01,NZUs close at $4.25,https://www.carbonnews.co.nz/story.asp?storyID=8058
2014-09-02,NZUs hold $4.20,https://www.carbonnews.co.nz/story.asp?storyID=8059
2014-09-03,NZUs trade higher,https://www.carbonnews.co.nz/story.asp?storyID=8060
2014-09-04,NZUs firm as selling dissipates,https://www.carbonnews.co.nz/story.asp?storyID=8061
2014-09-05,NZUs consolidate,https://www.carbonnews.co.nz/story.asp?storyID=8062
2014-09-08,NZUs settle at $4.30,https://www.carbonnews.co.nz/story.asp?storyID=8080
2014-09-09,NZUs looking to test $4.50,https://www.carbonnews.co.nz/story.asp?storyID=8087
2014-09-11,NZUs close at $4.50,https://www.carbonnews.co.nz/story.asp?storyID=8088
2014-09-12,NZUs close at $4.50,https://www.carbonnews.co.nz/story.asp?storyID=8089
2014-09-15,NZUs settle at $4.47,https://www.carbonnews.co.nz/story.asp?storyID=8096
2014-09-17,NZUs remain steady,https://www.carbonnews.co.nz/story.asp?storyID=8109
2014-09-18,Light action on NZU market,https://www.carbonnews.co.nz/story.asp?storyID=8110
2014-09-22,Focus on certainty,https://www.carbonnews.co.nz/story.asp?storyID=8126
2014-09-24,NZU drift continues,https://www.carbonnews.co.nz/story.asp?storyID=8133
2014-09-26,Market sure to rally,https://www.carbonnews.co.nz/story.asp?storyID=8134
2014-09-29,Prices likely to drift a little,https://www.carbonnews.co.nz/story.asp?storyID=8146
2014-09-30,Spot NZUs $4.40 bid,https://www.carbonnews.co.nz/story.asp?storyID=8158
2014-10-02,Quiet on NZ market,https://www.carbonnews.co.nz/story.asp?storyID=8157
2014-10-06,NZUs finish week down,https://www.carbonnews.co.nz/story.asp?storyID=8168
2014-10-07,NZUs very quiet,https://www.carbonnews.co.nz/story.asp?storyID=8174
2014-10-08,Little interest from sellers,https://www.carbonnews.co.nz/story.asp?storyID=8175
2014-10-09,NZUs remain quiet,https://www.carbonnews.co.nz/story.asp?storyID=8178
